fdc_id,food_name,category,subcategory,calories,protein,carbs,fat,fiber,iron,calcium,vitB12,vitD,zinc,sodium,potassium,magnesium,is_vegan,is_vegetarian,is_pescatarian,contains_gluten,contains_dairy,contains_eggs,contains_tree_nuts,contains_shellfish,contains_soy,contains_fish,contains_peanuts,fodmap_status,gerd_safe,gi_index,source
2644285,"Beans, black, canned, sodium added, drained and rinsed",other,Foundation,0.0,6.91,19.8,1.27,0.0,1.69,43.3,0.0,0.0,0.74,218.0,253.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2644287,"Beans, cannellini, canned, sodium added, drained and rinsed",legume,Foundation,0.0,7.41,18.8,1.17,0.0,1.4,69.2,0.0,0.0,0.516,164.0,203.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2644281,"Beans, cannellini, dry",legume,Foundation,0.0,21.6,59.8,2.2,0.0,6.67,143.0,0.0,0.0,2.72,0.0,1420.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747444,"Beans, Dry, Black (0% moisture)",other,Foundation,0.0,24.4,0.0,1.45,4.2,5.34,191.0,0.0,0.0,3.37,0.0,1540.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747433,"Beans, Dry, Brown (0% moisture)",other,Foundation,0.0,25.6,0.0,1.12,4.1,4.7,158.0,0.0,0.0,3.71,0.0,1580.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747436,"Beans, Dry, Carioca (0% moisture)",other,Foundation,0.0,25.2,0.0,1.44,4.5,5.87,194.0,0.0,0.0,3.36,0.0,1390.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747437,"Beans, Dry, Cranberry (0% moisture)",fruit,Foundation,0.0,24.4,0.0,1.23,4.3,5.26,152.0,0.0,0.0,3.03,0.0,1340.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747440,"Beans, Dry, Dark Red Kidney (0% moisture)",other,Foundation,0.0,25.9,0.0,1.31,4.3,6.58,98.0,0.0,0.0,3.29,0.0,1490.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747432,"Beans, Dry, Flor de Mayo (0% moisture)",other,Foundation,0.0,23.3,0.0,0.86,4.0,4.47,180.0,0.0,0.0,3.42,0.0,1490.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747446,"Beans, Dry, Great Northern (0% moisture)",other,Foundation,0.0,24.7,0.0,1.24,4.3,5.48,192.0,0.0,0.0,3.45,0.0,1520.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747438,"Beans, Dry, Light Red Kidney (0% moisture)",other,Foundation,0.0,25.0,0.0,1.03,4.5,6.95,103.0,0.0,0.0,3.5,0.0,1540.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747435,"Beans, Dry, Light Tan (0% moisture)",other,Foundation,0.0,24.6,0.0,1.28,4.3,7.29,98.0,0.0,0.0,3.23,0.0,1230.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747430,"Beans, Dry, Medium Red (0% moisture)",other,Foundation,0.0,25.5,0.0,1.04,4.3,6.27,193.0,0.0,0.0,3.82,0.0,1490.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747441,"Beans, Dry, Navy (0% moisture)",other,Foundation,0.0,24.1,0.0,1.51,4.3,5.29,229.0,0.0,0.0,3.31,0.0,1470.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747439,"Beans, Dry, Pink (0% moisture)",other,Foundation,0.0,23.4,0.0,1.2,4.1,5.46,137.0,0.0,0.0,3.26,0.0,1490.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747445,"Beans, Dry, Pinto (0% moisture)",other,Foundation,0.0,23.7,0.0,1.24,4.1,5.4,161.0,0.0,0.0,3.43,0.0,1510.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747431,"Beans, Dry, Red (0% moisture)",other,Foundation,0.0,21.3,0.0,1.16,4.0,5.05,148.0,0.0,0.0,2.84,0.0,1540.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747443,"Beans, Dry, Small Red (0% moisture)",other,Foundation,0.0,23.5,0.0,1.28,4.1,4.95,149.0,0.0,0.0,3.23,0.0,1520.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747442,"Beans, Dry, Small White (0% moisture)",other,Foundation,0.0,24.5,0.0,1.32,4.3,4.93,236.0,0.0,0.0,3.54,0.0,1540.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747434,"Beans, Dry, Tan (0% moisture)",other,Foundation,0.0,26.8,0.0,1.14,4.4,5.85,178.0,0.0,0.0,3.5,0.0,1620.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2644294,"Beans, great northern, canned, sodium added, drained and rinsed",other,Foundation,0.0,7.03,19.3,1.27,0.0,1.38,67.2,0.0,0.0,0.635,223.0,213.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2644289,"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",other,Foundation,0.0,7.8,21.0,1.26,0.0,1.44,56.9,0.0,0.0,0.56,172.0,227.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2644290,"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",other,Foundation,0.0,7.31,21.4,1.3,0.0,1.3,60.2,0.0,0.0,0.526,158.0,209.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2644286,"Beans, navy, canned, sodium added, drained and rinsed",other,Foundation,0.0,6.57,20.0,1.4,0.0,1.6,63.9,0.0,0.0,0.631,190.0,184.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2644292,"Beans, pinto, canned, sodium added, drained and rinsed",other,Foundation,0.0,6.69,19.6,1.27,0.0,1.28,55.2,0.0,0.0,0.625,202.0,210.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
321611,"Beans, snap, green, canned, regular pack, drained solids",other,Foundation,21.0,1.04,4.11,0.39,0.0,0.78,36.0,0.0,0.0,0.19,282.0,97.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2346400,"Beans, snap, green, raw",other,Foundation,0.0,1.97,7.41,0.275,3.01,0.652,40.0,0.0,0.0,0.35,0.0,290.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2646174,"Beef, chuck, roast, boneless, choice, raw",protein,Foundation,0.0,18.4,0.0,17.8,0.0,2.06,4.58,0.0,0.0,5.39,48.4,281.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2646175,"Beef, flank, steak, boneless, choice, raw",protein,Foundation,0.0,20.1,0.0,9.4,0.0,1.83,3.84,0.0,0.0,5.56,51.3,332.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2514744,"Beef, ground, 80% lean meat / 20% fat, raw",protein,Foundation,0.0,17.5,0.0,19.4,0.0,1.96,6.89,0.0,0.0,3.85,54.9,273.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2514743,"Beef, ground, 90% lean meat / 10% fat, raw",protein,Foundation,0.0,18.2,0.0,12.8,0.0,2.13,7.14,0.0,0.0,4.19,61.6,281.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",protein,Foundation,176.0,27.7,0.0,6.36,0.0,3.04,13.0,4.21,0.0,3.7,54.0,352.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",protein,Foundation,155.0,22.8,0.0,6.39,0.0,1.9,15.0,1.72,0.0,3.76,45.0,282.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2646172,"Beef, ribeye, steak, boneless, choice, raw",protein,Foundation,0.0,18.7,0.0,20.0,0.0,1.64,4.17,0.0,0.0,4.06,42.5,288.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",protein,Foundation,122.0,23.4,0.0,2.48,0.0,1.37,13.0,2.06,0.0,3.38,50.0,312.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",protein,Foundation,123.0,23.7,0.0,2.41,0.0,2.34,13.0,1.62,0.0,3.54,55.0,316.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2646173,"Beef, round, top round, boneless, choice, raw",protein,Foundation,0.0,21.5,0.852,5.7,0.0,1.9,4.07,0.0,0.0,3.78,45.5,352.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2727572,"Beef, short loin (NY strip steak), raw",protein,Foundation,0.0,21.3,0.221,11.5,0.0,1.61,5.04,0.0,0.0,3.28,43.1,323.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",protein,Foundation,145.0,22.7,0.0,5.32,0.0,2.26,19.0,1.98,0.0,3.52,43.0,266.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",protein,Foundation,219.0,27.3,0.0,11.4,0.0,3.53,19.0,1.88,0.0,4.69,67.0,283.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2727574,"Beef, top sirloin steak, raw",protein,Foundation,0.0,22.0,0.218,5.71,0.0,2.22,3.7,0.0,0.0,3.45,42.8,349.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2727573,"Beef, tenderloin steak, raw",protein,Foundation,0.0,21.1,0.18,6.46,0.0,2.53,4.09,0.0,0.0,3.22,44.8,345.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2747653,"Beet greens, raw",vegetable,Foundation,0.0,1.61,4.66,0.144,2.58,3.16,72.8,0.0,0.0,0.315,280.0,369.0,74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2685576,"Beets, raw",vegetable,Foundation,0.0,1.69,8.79,0.302,3.12,0.428,13.8,0.0,0.0,0.31,112.0,342.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2727571,"Bison, ground, raw",protein,Foundation,0.0,19.9,-0.15,8.88,0.0,2.17,6.83,0.0,0.0,3.76,55.7,301.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2727581,"Blackberries, raw",other,Foundation,0.0,1.53,0.0,0.0,5.3,0.208,15.4,0.0,0.0,0.189,1.55,167.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2644293,"Blackeye pea, canned, sodium added, drained and rinsed",vegetable,Foundation,0.0,6.92,19.2,1.3,0.0,1.08,27.8,0.0,0.0,0.655,227.0,138.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2644284,"Blackeye pea, dry",vegetable,Foundation,0.0,21.2,61.8,2.42,0.0,5.93,71.4,0.0,0.0,3.65,3.46,1240.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2346411,"Blueberries, raw",other,Foundation,0.0,0.703,14.6,0.306,0.0,0.34,11.7,0.0,0.0,0.0853,0.0,85.6,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2758991,"Bologna, beef",protein,Foundation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2758992,"Bologna, classic",other,Foundation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2758994,"Bread, 100% whole wheat, commercial",grain,Foundation,0.0,0.0,0.0,0.0,0.0,2.78,132.0,0.0,0.0,1.72,408.0,203.0,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2758995,"Bread, mulitgrain, commercial",grain,Foundation,0.0,0.0,0.0,0.0,0.0,2.41,106.0,0.0,0.0,1.53,400.0,198.0,67.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2758993,"Bread, white, commercial",grain,Foundation,0.0,0.0,0.0,0.0,0.0,4.06,288.0,0.0,0.0,0.769,420.0,115.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747447,"Broccoli, raw",vegetable,Foundation,31.0,2.57,6.27,0.34,2.4,0.69,46.0,0.0,0.0,0.42,36.0,303.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2685575,"Brussels sprouts, raw",vegetable,Foundation,0.0,3.98,9.62,0.565,4.78,0.73,38.6,0.0,0.0,0.366,25.7,477.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2512378,"Buckwheat, whole grain",grain,Foundation,0.0,11.1,71.1,3.04,4.05,2.44,13.6,0.0,0.0,2.24,0.0,414.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2710820,"Bulgur, dry, raw",grain,Foundation,0.0,11.8,75.9,2.42,11.7,2.62,34.1,0.0,0.0,2.15,2.18,358.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
790508,"Butter, stick, salted",fat,Foundation,0.0,0.0,0.0,82.2,0.0,0.06,21.0,0.0,0.4,0.07,524.0,23.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
789828,"Butter, stick, unsalted",fat,Foundation,0.0,0.0,0.0,81.5,0.0,0.03,14.0,0.0,0.0,0.07,10.0,19.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2259792,"Buttermilk, low fat",fat,Foundation,0.0,3.46,4.81,1.08,0.0,0.0132,120.0,0.0,0.543,0.426,92.5,158.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2685572,"Cabbage, bok choy, raw",vegetable,Foundation,0.0,1.02,3.51,0.234,1.26,0.439,61.9,0.0,0.0,0.274,14.3,228.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2346407,"Cabbage, green, raw",vegetable,Foundation,0.0,0.961,6.38,0.228,0.0,0.0662,41.8,0.0,0.0,0.211,16.1,207.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2727583,"Cabbage, napa, leaf, destemmed, raw",vegetable,Foundation,0.0,1.06,0.0,0.0,1.2,0.255,35.0,0.0,0.0,0.253,12.6,235.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2346408,"Cabbage, red, raw",vegetable,Foundation,0.0,1.24,6.79,0.214,0.0,0.0,31.0,0.0,0.0,0.245,11.7,269.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2258587,"Carrots, baby, raw",vegetable,Foundation,0.0,0.805,9.08,0.138,2.69,0.088,42.2,0.0,0.0,0.16,62.7,237.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
746764,"Carrots, frozen, unprepared",vegetable,Foundation,37.0,0.81,7.92,0.47,3.2,0.43,33.0,0.0,0.0,0.28,66.0,210.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2258586,"Carrots, mature, raw",vegetable,Foundation,0.0,0.941,10.3,0.351,3.1,0.15,30.5,0.0,0.0,0.236,86.6,280.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2685573,"Cauliflower, raw",vegetable,Foundation,0.0,1.64,4.72,0.238,1.95,0.334,20.4,0.0,0.0,0.234,20.0,274.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2346405,"Celery, raw",vegetable,Foundation,0.0,0.492,3.32,0.162,0.0,0.0,46.3,0.0,0.0,0.0929,97.2,265.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
747429,"Cheese, American, restaurant",dairy,Foundation,375.0,17.5,6.35,31.1,0.0,0.24,508.0,0.0,0.0,2.45,1600.0,173.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
328637,"Cheese, cheddar",dairy,Foundation,408.0,23.3,2.44,34.0,0.0,0.16,707.0,1.06,0.0,3.67,654.0,77.0,26.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
2647443,"Cheese, cotija, solid",dairy,Foundation,0.0,23.8,2.72,27.2,0.0,0.0,700.0,0.0,0.0,3.6,1620.0,117.0,29.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
328841,"Cheese, cottage, lowfat, 2% milkfat",dairy,Foundation,84.0,11.0,4.31,2.3,0.0,0.13,103.0,0.42,0.0,0.61,321.0,120.0,8.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
746765,"Cheese, dry white, queso seco",dairy,Foundation,326.0,24.5,2.07,24.3,0.0,0.18,661.0,1.7,1.83,3.28,1810.0,116.0,26.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDA
